Sexo;Provincias;Municipios;Edad (grupos quinquenales);Periodo;Total
Total;45 Toledo;45026 Cabañas de Yepes;Todas las edades;1 de enero de 2020;260
Total;45 Toledo;45026 Cabañas de Yepes;De 0 a 4 años;1 de enero de 2020;2
Total;45 Toledo;45026 Cabañas de Yepes;De 5 a 9 años;1 de enero de 2020;8
Total;45 Toledo;45026 Cabañas de Yepes;De 10 a 14 años;1 de enero de 2020;9
Total;45 Toledo;45026 Cabañas de Yepes;De 65 a 69 años;1 de enero de 2020;18
Total;45 Toledo;45026 Cabañas de Yepes;De 70 a 74 años;1 de enero de 2020;9
Total;45 Toledo;45026 Cabañas de Yepes;De 75 a 79 años;1 de enero de 2020;19
Total;45 Toledo;45026 Cabañas de Yepes;De 80 a 84 años;1 de enero de 2020;14
Total;45 Toledo;45026 Cabañas de Yepes;De 85 a 89 años;1 de enero de 2020;13
Total;45 Toledo;45026 Cabañas de Yepes;De 90 a 94 años;1 de enero de 2020;5
Total;45 Toledo;45026 Cabañas de Yepes;De 95 a 99 años;1 de enero de 2020;6
Total;45 Toledo;45026 Cabañas de Yepes;100 y más años;1 de enero de 2020;0
Total;45 Toledo;45027 Cabezamesada;Todas las edades;1 de enero de 2020;343
Total;45 Toledo;45027 Cabezamesada;De 0 a 4 años;1 de enero de 2020;7
Total;45 Toledo;45027 Cabezamesada;De 5 a 9 años;1 de enero de 2020;3
Total;45 Toledo;45027 Cabezamesada;De 10 a 14 años;1 de enero de 2020;6
Total;45 Toledo;45027 Cabezamesada;De 65 a 69 años;1 de enero de 2020;24
Total;45 Toledo;45027 Cabezamesada;De 70 a 74 años;1 de enero de 2020;18
Total;45 Toledo;45027 Cabezamesada;De 75 a 79 años;1 de enero de 2020;22
