Municipio;Nacionalidad;Sexo;Destino;Total
13090 Villamanrique;Total;Total;Misma provincia;13
13090 Villamanrique;Total;Total;Misma comunidad autónoma, distinta provincia;4
13090 Villamanrique;Total;Total;Otra comunidad autónoma;13
13090 Villamanrique;Total;Total;Extranjero;0
13091 Villamayor de Calatrava;Total;Total;Misma provincia;10
13091 Villamayor de Calatrava;Total;Total;Misma comunidad autónoma, distinta provincia;0
13091 Villamayor de Calatrava;Total;Total;Otra comunidad autónoma;6
13091 Villamayor de Calatrava;Total;Total;Extranjero;0
13092 Villanueva de la Fuente;Total;Total;Misma provincia;11
13092 Villanueva de la Fuente;Total;Total;Misma comunidad autónoma, distinta provincia;7
13092 Villanueva de la Fuente;Total;Total;Otra comunidad autónoma;36
13092 Villanueva de la Fuente;Total;Total;Extranjero;0
13093 Villanueva de los Infantes;Total;Total;Misma provincia;49
13093 Villanueva de los Infantes;Total;Total;Misma comunidad autónoma, distinta provincia;6
13093 Villanueva de los Infantes;Total;Total;Otra comunidad autónoma;70
13093 Villanueva de los Infantes;Total;Total;Extranjero;5
13094 Villanueva de San Carlos;Total;Total;Misma provincia;9
13094 Villanueva de San Carlos;Total;Total;Misma comunidad autónoma, distinta provincia;0
13094 Villanueva de San Carlos;Total;Total;Otra comunidad autónoma;1
13094 Villanueva de San Carlos;Total;Total;Extranjero;0
13095 Villar del Pozo;Total;Total;Misma provincia;2
13095 Villar del Pozo;Total;Total;Misma comunidad autónoma, distinta provincia;0
13095 Villar del Pozo;Total;Total;Otra comunidad autónoma;0
13095 Villar del Pozo;Total;Total;Extranjero;0
13096 Villarrubia de los Ojos;Total;Total;Misma provincia;64
13096 Villarrubia de los Ojos;Total;Total;Misma comunidad autónoma, distinta provincia;26
13096 Villarrubia de los Ojos;Total;Total;Otra comunidad autónoma;76
13096 Villarrubia de los Ojos;Total;Total;Extranjero;12
13097 Villarta de San Juan;Total;Total;Misma provincia;15
13097 Villarta de San Juan;Total;Total;Misma comunidad autónoma, distinta provincia;4
13097 Villarta de San Juan;Total;Total;Otra comunidad autónoma;18
13097 Villarta de San Juan;Total;Total;Extranjero;21
13098 Viso del Marqués;Total;Total;Misma provincia;44
13098 Viso del Marqués;Total;Total;Misma comunidad autónoma, distinta provincia;5
13098 Viso del Marqués;Total;Total;Otra comunidad autónoma;32
13098 Viso del Marqués;Total;Total;Extranjero;3
