Municipios;Nacionalidad;Sexo;Destino;Total
02080-Villapalacios;Total;Total;Otra CCAA;15
02080-Villapalacios;Total;Total;Extranjero;3
02081-Villarrobledo;Total;Total;Misma provincia;77
02081-Villarrobledo;Total;Total;Misma CCAA distinta provincia;120
02081-Villarrobledo;Total;Total;Otra CCAA;332
02081-Villarrobledo;Total;Total;Extranjero;162
02082-Villatoya;Total;Total;Misma provincia;4
02082-Villatoya;Total;Total;Misma CCAA distinta provincia;0
02082-Villatoya;Total;Total;Otra CCAA;12
02082-Villatoya;Total;Total;Extranjero;7
02083-Villavaliente;Total;Total;Misma provincia;5
02083-Villavaliente;Total;Total;Misma CCAA distinta provincia;0
02083-Villavaliente;Total;Total;Otra CCAA;5
02083-Villavaliente;Total;Total;Extranjero;0
02084-Villaverde de Guadalimar;Total;Total;Misma provincia;5
02084-Villaverde de Guadalimar;Total;Total;Misma CCAA distinta provincia;0
02084-Villaverde de Guadalimar;Total;Total;Otra CCAA;24
02084-Villaverde de Guadalimar;Total;Total;Extranjero;0
02085-Viveros;Total;Total;Misma provincia;7
02085-Viveros;Total;Total;Misma CCAA distinta provincia;0
02085-Viveros;Total;Total;Otra CCAA;2
02085-Viveros;Total;Total;Extranjero;0
02086-Yeste;Total;Total;Misma provincia;28
02086-Yeste;Total;Total;Misma CCAA distinta provincia;4
02086-Yeste;Total;Total;Otra CCAA;38
02086-Yeste;Total;Total;Extranjero;1
02901-Pozo Cañada;Total;Total;Misma provincia;49
02901-Pozo Cañada;Total;Total;Misma CCAA distinta provincia;1
02901-Pozo Cañada;Total;Total;Otra CCAA;22
02901-Pozo Cañada;Total;Total;Extranjero;3
