Municipio;Nacionalidad;Sexo;Destino;Total
16060 Casas de Benítez;Total;Total;Otra comunidad autónoma;""
16060 Casas de Benítez;Total;Total;Extranjero;""
16061 Casas de Fernando Alonso;Total;Total;Misma provincia;""
16061 Casas de Fernando Alonso;Total;Total;Misma comunidad autónoma, distinta provincia;""
16061 Casas de Fernando Alonso;Total;Total;Otra comunidad autónoma;""
16061 Casas de Fernando Alonso;Total;Total;Extranjero;""
16062 Casas de Garcimolina;Total;Total;Misma provincia;""
16062 Casas de Garcimolina;Total;Total;Misma comunidad autónoma, distinta provincia;""
16062 Casas de Garcimolina;Total;Total;Otra comunidad autónoma;""
16062 Casas de Garcimolina;Total;Total;Extranjero;""
16063 Casas de Guijarro;Total;Total;Misma provincia;""
16063 Casas de Guijarro;Total;Total;Misma comunidad autónoma, distinta provincia;""
16063 Casas de Guijarro;Total;Total;Otra comunidad autónoma;""
16063 Casas de Guijarro;Total;Total;Extranjero;""
16064 Casas de Haro;Total;Total;Misma provincia;""
16064 Casas de Haro;Total;Total;Misma comunidad autónoma, distinta provincia;""
16064 Casas de Haro;Total;Total;Otra comunidad autónoma;""
16064 Casas de Haro;Total;Total;Extranjero;""
16065 Casas de los Pinos;Total;Total;Misma provincia;""
16065 Casas de los Pinos;Total;Total;Misma comunidad autónoma, distinta provincia;""
16065 Casas de los Pinos;Total;Total;Otra comunidad autónoma;""
16065 Casas de los Pinos;Total;Total;Extranjero;""
16066 Casasimarro;Total;Total;Misma provincia;""
16066 Casasimarro;Total;Total;Misma comunidad autónoma, distinta provincia;""
16066 Casasimarro;Total;Total;Otra comunidad autónoma;""
16066 Casasimarro;Total;Total;Extranjero;""
16067 Castejón;Total;Total;Misma provincia;""
16067 Castejón;Total;Total;Misma comunidad autónoma, distinta provincia;""
16067 Castejón;Total;Total;Otra comunidad autónoma;""
16067 Castejón;Total;Total;Extranjero;""
16068 Castillejo de Iniesta;Total;Total;Misma provincia;""
16068 Castillejo de Iniesta;Total;Total;Misma comunidad autónoma, distinta provincia;""
16068 Castillejo de Iniesta;Total;Total;Otra comunidad autónoma;""
16068 Castillejo de Iniesta;Total;Total;Extranjero;""
16070 Castillejo-Sierra;Total;Total;Misma provincia;""
16070 Castillejo-Sierra;Total;Total;Misma comunidad autónoma, distinta provincia;""
16070 Castillejo-Sierra;Total;Total;Otra comunidad autónoma;""
16070 Castillejo-Sierra;Total;Total;Extranjero;""
16072 Castillo de Garcimuñoz;Total;Total;Misma provincia;""
16072 Castillo de Garcimuñoz;Total;Total;Misma comunidad autónoma, distinta provincia;""
16072 Castillo de Garcimuñoz;Total;Total;Otra comunidad autónoma;""
16072 Castillo de Garcimuñoz;Total;Total;Extranjero;""
16071 Castillo-Albaráñez;Total;Total;Misma provincia;""
16071 Castillo-Albaráñez;Total;Total;Misma comunidad autónoma, distinta provincia;""
16071 Castillo-Albaráñez;Total;Total;Otra comunidad autónoma;""
16071 Castillo-Albaráñez;Total;Total;Extranjero;""
16073 Cervera del Llano;Total;Total;Misma provincia;""
16073 Cervera del Llano;Total;Total;Misma comunidad autónoma, distinta provincia;""
16073 Cervera del Llano;Total;Total;Otra comunidad autónoma;""
16073 Cervera del Llano;Total;Total;Extranjero;""
16023 Chillarón de Cuenca;Total;Total;Misma provincia;""
16023 Chillarón de Cuenca;Total;Total;Misma comunidad autónoma, distinta provincia;""
16023 Chillarón de Cuenca;Total;Total;Otra comunidad autónoma;""
16023 Chillarón de Cuenca;Total;Total;Extranjero;""
16081 Chumillas;Total;Total;Misma provincia;""
16081 Chumillas;Total;Total;Misma comunidad autónoma, distinta provincia;""
16081 Chumillas;Total;Total;Otra comunidad autónoma;""
16081 Chumillas;Total;Total;Extranjero;""
16074 Cierva, La;Total;Total;Misma provincia;""
16074 Cierva, La;Total;Total;Misma comunidad autónoma, distinta provincia;""
16074 Cierva, La;Total;Total;Otra comunidad autónoma;""
16074 Cierva, La;Total;Total;Extranjero;""
16078 Cuenca;Total;Total;Misma provincia;""
16078 Cuenca;Total;Total;Misma comunidad autónoma, distinta provincia;""
16078 Cuenca;Total;Total;Otra comunidad autónoma;""
16078 Cuenca;Total;Total;Extranjero;""
16079 Cueva del Hierro;Total;Total;Misma provincia;""
16079 Cueva del Hierro;Total;Total;Misma comunidad autónoma, distinta provincia;""
16079 Cueva del Hierro;Total;Total;Otra comunidad autónoma;""
16079 Cueva del Hierro;Total;Total;Extranjero;""
16082 Enguídanos;Total;Total;Misma provincia;""
16082 Enguídanos;Total;Total;Misma comunidad autónoma, distinta provincia;""
16082 Enguídanos;Total;Total;Otra comunidad autónoma;""
16082 Enguídanos;Total;Total;Extranjero;""
16083 Fresneda de Altarejos;Total;Total;Misma provincia;""
16083 Fresneda de Altarejos;Total;Total;Misma comunidad autónoma, distinta provincia;""
16083 Fresneda de Altarejos;Total;Total;Otra comunidad autónoma;""
16083 Fresneda de Altarejos;Total;Total;Extranjero;""
16084 Fresneda de la Sierra;Total;Total;Misma provincia;""
16084 Fresneda de la Sierra;Total;Total;Misma comunidad autónoma, distinta provincia;""
16084 Fresneda de la Sierra;Total;Total;Otra comunidad autónoma;""
16084 Fresneda de la Sierra;Total;Total;Extranjero;""
16085 Frontera, La;Total;Total;Misma provincia;""
16085 Frontera, La;Total;Total;Misma comunidad autónoma, distinta provincia;""
16085 Frontera, La;Total;Total;Otra comunidad autónoma;""
16085 Frontera, La;Total;Total;Extranjero;""
16086 Fuente de Pedro Naharro;Total;Total;Misma provincia;""
16086 Fuente de Pedro Naharro;Total;Total;Misma comunidad autónoma, distinta provincia;""
16086 Fuente de Pedro Naharro;Total;Total;Otra comunidad autónoma;""
16086 Fuente de Pedro Naharro;Total;Total;Extranjero;""
16087 Fuentelespino de Haro;Total;Total;Misma provincia;""
16087 Fuentelespino de Haro;Total;Total;Misma comunidad autónoma, distinta provincia;""
16087 Fuentelespino de Haro;Total;Total;Otra comunidad autónoma;""
16087 Fuentelespino de Haro;Total;Total;Extranjero;""
16088 Fuentelespino de Moya;Total;Total;Misma provincia;""
16088 Fuentelespino de Moya;Total;Total;Misma comunidad autónoma, distinta provincia;""
16088 Fuentelespino de Moya;Total;Total;Otra comunidad autónoma;""
16088 Fuentelespino de Moya;Total;Total;Extranjero;""
16904 Fuentenava de Jábaga;Total;Total;Misma provincia;""
16904 Fuentenava de Jábaga;Total;Total;Misma comunidad autónoma, distinta provincia;""
16904 Fuentenava de Jábaga;Total;Total;Otra comunidad autónoma;""
16904 Fuentenava de Jábaga;Total;Total;Extranjero;""
16089 Fuentes;Total;Total;Misma provincia;""
16089 Fuentes;Total;Total;Misma comunidad autónoma, distinta provincia;""
16089 Fuentes;Total;Total;Otra comunidad autónoma;""
16089 Fuentes;Total;Total;Extranjero;""
16091 Fuertescusa;Total;Total;Misma provincia;""
16091 Fuertescusa;Total;Total;Misma comunidad autónoma, distinta provincia;""
16091 Fuertescusa;Total;Total;Otra comunidad autónoma;""
16091 Fuertescusa;Total;Total;Extranjero;""
16092 Gabaldón;Total;Total;Misma provincia;""
16092 Gabaldón;Total;Total;Misma comunidad autónoma, distinta provincia;""
16092 Gabaldón;Total;Total;Otra comunidad autónoma;""
16092 Gabaldón;Total;Total;Extranjero;""
16093 Garaballa;Total;Total;Misma provincia;""
16093 Garaballa;Total;Total;Misma comunidad autónoma, distinta provincia;""
16093 Garaballa;Total;Total;Otra comunidad autónoma;""
16093 Garaballa;Total;Total;Extranjero;""
16094 Gascueña;Total;Total;Misma provincia;""
16094 Gascueña;Total;Total;Misma comunidad autónoma, distinta provincia;""
16094 Gascueña;Total;Total;Otra comunidad autónoma;""
16094 Gascueña;Total;Total;Extranjero;""
16095 Graja de Campalbo;Total;Total;Misma provincia;""
16095 Graja de Campalbo;Total;Total;Misma comunidad autónoma, distinta provincia;""
16095 Graja de Campalbo;Total;Total;Otra comunidad autónoma;""
16095 Graja de Campalbo;Total;Total;Extranjero;""
16096 Graja de Iniesta;Total;Total;Misma provincia;""
16096 Graja de Iniesta;Total;Total;Misma comunidad autónoma, distinta provincia;""
16096 Graja de Iniesta;Total;Total;Otra comunidad autónoma;""
16096 Graja de Iniesta;Total;Total;Extranjero;""
16097 Henarejos;Total;Total;Misma provincia;""
16097 Henarejos;Total;Total;Misma comunidad autónoma, distinta provincia;""
16097 Henarejos;Total;Total;Otra comunidad autónoma;""
16097 Henarejos;Total;Total;Extranjero;""
16098 Herrumblar, El;Total;Total;Misma provincia;""
16098 Herrumblar, El;Total;Total;Misma comunidad autónoma, distinta provincia;""
16098 Herrumblar, El;Total;Total;Otra comunidad autónoma;""
16098 Herrumblar, El;Total;Total;Extranjero;""
16099 Hinojosa, La;Total;Total;Misma provincia;""
16099 Hinojosa, La;Total;Total;Misma comunidad autónoma, distinta provincia;""
16099 Hinojosa, La;Total;Total;Otra comunidad autónoma;""
16099 Hinojosa, La;Total;Total;Extranjero;""
16100 Hinojosos, Los;Total;Total;Misma provincia;""
16100 Hinojosos, Los;Total;Total;Misma comunidad autónoma, distinta provincia;""
16100 Hinojosos, Los;Total;Total;Otra comunidad autónoma;""
16100 Hinojosos, Los;Total;Total;Extranjero;""
16101 Hito, El;Total;Total;Misma provincia;""
16101 Hito, El;Total;Total;Misma comunidad autónoma, distinta provincia;""
16101 Hito, El;Total;Total;Otra comunidad autónoma;""
16101 Hito, El;Total;Total;Extranjero;""
16102 Honrubia;Total;Total;Misma provincia;""
16102 Honrubia;Total;Total;Misma comunidad autónoma, distinta provincia;""
16102 Honrubia;Total;Total;Otra comunidad autónoma;""
16102 Honrubia;Total;Total;Extranjero;""
16103 Hontanaya;Total;Total;Misma provincia;""
16103 Hontanaya;Total;Total;Misma comunidad autónoma, distinta provincia;""
16103 Hontanaya;Total;Total;Otra comunidad autónoma;""
16103 Hontanaya;Total;Total;Extranjero;""
16104 Hontecillas;Total;Total;Misma provincia;""
16104 Hontecillas;Total;Total;Misma comunidad autónoma, distinta provincia;""
16104 Hontecillas;Total;Total;Otra comunidad autónoma;""
16104 Hontecillas;Total;Total;Extranjero;""
16106 Horcajo de Santiago;Total;Total;Misma provincia;""
16106 Horcajo de Santiago;Total;Total;Misma comunidad autónoma, distinta provincia;""
16106 Horcajo de Santiago;Total;Total;Otra comunidad autónoma;""
16106 Horcajo de Santiago;Total;Total;Extranjero;""
16107 Huélamo;Total;Total;Misma provincia;""
16107 Huélamo;Total;Total;Misma comunidad autónoma, distinta provincia;""
16107 Huélamo;Total;Total;Otra comunidad autónoma;""
16107 Huélamo;Total;Total;Extranjero;""
16108 Huelves;Total;Total;Misma provincia;""
16108 Huelves;Total;Total;Misma comunidad autónoma, distinta provincia;""
16108 Huelves;Total;Total;Otra comunidad autónoma;""
16108 Huelves;Total;Total;Extranjero;""
16109 Huérguina;Total;Total;Misma provincia;""
16109 Huérguina;Total;Total;Misma comunidad autónoma, distinta provincia;""
16109 Huérguina;Total;Total;Otra comunidad autónoma;""
16109 Huérguina;Total;Total;Extranjero;""
16110 Huerta de la Obispalía;Total;Total;Misma provincia;""
16110 Huerta de la Obispalía;Total;Total;Misma comunidad autónoma, distinta provincia;""
16110 Huerta de la Obispalía;Total;Total;Otra comunidad autónoma;""
16110 Huerta de la Obispalía;Total;Total;Extranjero;""
16111 Huerta del Marquesado;Total;Total;Misma provincia;""
16111 Huerta del Marquesado;Total;Total;Misma comunidad autónoma, distinta provincia;""
16111 Huerta del Marquesado;Total;Total;Otra comunidad autónoma;""
16111 Huerta del Marquesado;Total;Total;Extranjero;""
16112 Huete;Total;Total;Misma provincia;""
16112 Huete;Total;Total;Misma comunidad autónoma, distinta provincia;""
16112 Huete;Total;Total;Otra comunidad autónoma;""
16112 Huete;Total;Total;Extranjero;""
16113 Iniesta;Total;Total;Misma provincia;""
16113 Iniesta;Total;Total;Misma comunidad autónoma, distinta provincia;""
16113 Iniesta;Total;Total;Otra comunidad autónoma;""
16113 Iniesta;Total;Total;Extranjero;""
16115 Laguna del Marquesado;Total;Total;Misma provincia;""
16115 Laguna del Marquesado;Total;Total;Misma comunidad autónoma, distinta provincia;""
16115 Laguna del Marquesado;Total;Total;Otra comunidad autónoma;""
16115 Laguna del Marquesado;Total;Total;Extranjero;""
16116 Lagunaseca;Total;Total;Misma provincia;""
16116 Lagunaseca;Total;Total;Misma comunidad autónoma, distinta provincia;""
16116 Lagunaseca;Total;Total;Otra comunidad autónoma;""
16116 Lagunaseca;Total;Total;Extranjero;""
16117 Landete;Total;Total;Misma provincia;""
16117 Landete;Total;Total;Misma comunidad autónoma, distinta provincia;""
16117 Landete;Total;Total;Otra comunidad autónoma;""
16117 Landete;Total;Total;Extranjero;""
16118 Ledaña;Total;Total;Misma provincia;""
16118 Ledaña;Total;Total;Misma comunidad autónoma, distinta provincia;""
16118 Ledaña;Total;Total;Otra comunidad autónoma;""
16118 Ledaña;Total;Total;Extranjero;""
16119 Leganiel;Total;Total;Misma provincia;""
16119 Leganiel;Total;Total;Misma comunidad autónoma, distinta provincia;""
16119 Leganiel;Total;Total;Otra comunidad autónoma;""
16119 Leganiel;Total;Total;Extranjero;""
16121 Majadas, Las;Total;Total;Misma provincia;""
16121 Majadas, Las;Total;Total;Misma comunidad autónoma, distinta provincia;""
16121 Majadas, Las;Total;Total;Otra comunidad autónoma;""
16121 Majadas, Las;Total;Total;Extranjero;""
16122 Mariana;Total;Total;Misma provincia;""
16122 Mariana;Total;Total;Misma comunidad autónoma, distinta provincia;""
16122 Mariana;Total;Total;Otra comunidad autónoma;""
16122 Mariana;Total;Total;Extranjero;""
16123 Masegosa;Total;Total;Misma provincia;""
16123 Masegosa;Total;Total;Misma comunidad autónoma, distinta provincia;""
16123 Masegosa;Total;Total;Otra comunidad autónoma;""
16123 Masegosa;Total;Total;Extranjero;""
16124 Mesas, Las;Total;Total;Misma provincia;""
16124 Mesas, Las;Total;Total;Misma comunidad autónoma, distinta provincia;""
16124 Mesas, Las;Total;Total;Otra comunidad autónoma;""
16124 Mesas, Las;Total;Total;Extranjero;""
16125 Minglanilla;Total;Total;Misma provincia;""
