Municipio;Nacionalidad;Sexo;Destino;Total
45111 Navalmoralejo;Total;Total;Otra comunidad autónoma;1
45111 Navalmoralejo;Total;Total;Extranjero;0
45112 Navalmorales, Los;Total;Total;Misma provincia;35
45112 Navalmorales, Los;Total;Total;Misma comunidad autónoma, distinta provincia;2
45112 Navalmorales, Los;Total;Total;Otra comunidad autónoma;40
45112 Navalmorales, Los;Total;Total;Extranjero;0
45113 Navalucillos, Los;Total;Total;Misma provincia;21
45113 Navalucillos, Los;Total;Total;Misma comunidad autónoma, distinta provincia;1
45113 Navalucillos, Los;Total;Total;Otra comunidad autónoma;31
45113 Navalucillos, Los;Total;Total;Extranjero;18
45114 Navamorcuende;Total;Total;Misma provincia;11
45114 Navamorcuende;Total;Total;Misma comunidad autónoma, distinta provincia;0
45114 Navamorcuende;Total;Total;Otra comunidad autónoma;7
45114 Navamorcuende;Total;Total;Extranjero;1
45115 Noblejas;Total;Total;Misma provincia;28
45115 Noblejas;Total;Total;Misma comunidad autónoma, distinta provincia;2
45115 Noblejas;Total;Total;Otra comunidad autónoma;53
45115 Noblejas;Total;Total;Extranjero;18
45116 Noez;Total;Total;Misma provincia;21
45116 Noez;Total;Total;Misma comunidad autónoma, distinta provincia;1
45116 Noez;Total;Total;Otra comunidad autónoma;16
45116 Noez;Total;Total;Extranjero;2
45117 Nombela;Total;Total;Misma provincia;20
45117 Nombela;Total;Total;Misma comunidad autónoma, distinta provincia;1
45117 Nombela;Total;Total;Otra comunidad autónoma;15
45117 Nombela;Total;Total;Extranjero;0
45118 Novés;Total;Total;Misma provincia;54
