Sexo;Provincias;Municipios;Edad (grupos quinquenales);Periodo;Total
Total;16 Cuenca;16020 Arandilla del Arroyo;De 90 a 94 años;1 de enero de 2020;1
Total;16 Cuenca;16020 Arandilla del Arroyo;De 95 a 99 años;1 de enero de 2020;0
Total;16 Cuenca;16020 Arandilla del Arroyo;100 y más años;1 de enero de 2020;0
Total;16 Cuenca;16905 Arcas;Todas las edades;1 de enero de 2020;1.775
Total;16 Cuenca;16905 Arcas;De 0 a 4 años;1 de enero de 2020;85
Total;16 Cuenca;16905 Arcas;De 5 a 9 años;1 de enero de 2020;109
Total;16 Cuenca;16905 Arcas;De 10 a 14 años;1 de enero de 2020;119
Total;16 Cuenca;16905 Arcas;De 65 a 69 años;1 de enero de 2020;46
Total;16 Cuenca;16905 Arcas;De 70 a 74 años;1 de enero de 2020;43
Total;16 Cuenca;16905 Arcas;De 75 a 79 años;1 de enero de 2020;26
Total;16 Cuenca;16905 Arcas;De 80 a 84 años;1 de enero de 2020;19
Total;16 Cuenca;16905 Arcas;De 85 a 89 años;1 de enero de 2020;17
Total;16 Cuenca;16905 Arcas;De 90 a 94 años;1 de enero de 2020;7
Total;16 Cuenca;16905 Arcas;De 95 a 99 años;1 de enero de 2020;4
Total;16 Cuenca;16905 Arcas;100 y más años;1 de enero de 2020;1
Total;16 Cuenca;16022 Arcos de la Sierra;Todas las edades;1 de enero de 2020;77
Total;16 Cuenca;16022 Arcos de la Sierra;De 0 a 4 años;1 de enero de 2020;0
Total;16 Cuenca;16022 Arcos de la Sierra;De 5 a 9 años;1 de enero de 2020;1
Total;16 Cuenca;16022 Arcos de la Sierra;De 10 a 14 años;1 de enero de 2020;2
Total;16 Cuenca;16022 Arcos de la Sierra;De 65 a 69 años;1 de enero de 2020;6
Total;16 Cuenca;16022 Arcos de la Sierra;De 70 a 74 años;1 de enero de 2020;8
Total;16 Cuenca;16022 Arcos de la Sierra;De 75 a 79 años;1 de enero de 2020;5
Total;16 Cuenca;16022 Arcos de la Sierra;De 80 a 84 años;1 de enero de 2020;8
Total;16 Cuenca;16022 Arcos de la Sierra;De 85 a 89 años;1 de enero de 2020;5
Total;16 Cuenca;16022 Arcos de la Sierra;De 90 a 94 años;1 de enero de 2020;4
Total;16 Cuenca;16022 Arcos de la Sierra;De 95 a 99 años;1 de enero de 2020;2
Total;16 Cuenca;16022 Arcos de la Sierra;100 y más años;1 de enero de 2020;0
Total;16 Cuenca;16024 Arguisuelas;Todas las edades;1 de enero de 2020;136
Total;16 Cuenca;16024 Arguisuelas;De 0 a 4 años;1 de enero de 2020;1
Total;16 Cuenca;16024 Arguisuelas;De 5 a 9 años;1 de enero de 2020;8
Total;16 Cuenca;16024 Arguisuelas;De 10 a 14 años;1 de enero de 2020;6
Total;16 Cuenca;16024 Arguisuelas;De 65 a 69 años;1 de enero de 2020;5
Total;16 Cuenca;16024 Arguisuelas;De 70 a 74 años;1 de enero de 2020;6
Total;16 Cuenca;16024 Arguisuelas;De 75 a 79 años;1 de enero de 2020;6
Total;16 Cuenca;16024 Arguisuelas;De 80 a 84 años;1 de enero de 2020;13
Total;16 Cuenca;16024 Arguisuelas;De 85 a 89 años;1 de enero de 2020;9
Total;16 Cuenca;16024 Arguisuelas;De 90 a 94 años;1 de enero de 2020;3
Total;16 Cuenca;16024 Arguisuelas;De 95 a 99 años;1 de enero de 2020;0
Total;16 Cuenca;16024 Arguisuelas;100 y más años;1 de enero de 2020;0
Total;16 Cuenca;16025 Arrancacepas;Todas las edades;1 de enero de 2020;25
Total;16 Cuenca;16025 Arrancacepas;De 0 a 4 años;1 de enero de 2020;0
Total;16 Cuenca;16025 Arrancacepas;De 5 a 9 años;1 de enero de 2020;0
Total;16 Cuenca;16025 Arrancacepas;De 10 a 14 años;1 de enero de 2020;0
Total;16 Cuenca;16025 Arrancacepas;De 65 a 69 años;1 de enero de 2020;1
Total;16 Cuenca;16025 Arrancacepas;De 70 a 74 años;1 de enero de 2020;3
Total;16 Cuenca;16025 Arrancacepas;De 75 a 79 años;1 de enero de 2020;3
Total;16 Cuenca;16025 Arrancacepas;De 80 a 84 años;1 de enero de 2020;2
Total;16 Cuenca;16025 Arrancacepas;De 85 a 89 años;1 de enero de 2020;1
Total;16 Cuenca;16025 Arrancacepas;De 90 a 94 años;1 de enero de 2020;3
Total;16 Cuenca;16025 Arrancacepas;De 95 a 99 años;1 de enero de 2020;0
