Sexo;Provincias;Municipios;Edad (grupos quinquenales);Periodo;Total
Total;19 Guadalajara;19031 Angón;De 10 a 14 años;1 de enero de 2020;0
Total;19 Guadalajara;19031 Angón;De 65 a 69 años;1 de enero de 2020;1
Total;19 Guadalajara;19031 Angón;De 70 a 74 años;1 de enero de 2020;1
Total;19 Guadalajara;19031 Angón;De 75 a 79 años;1 de enero de 2020;1
Total;19 Guadalajara;19031 Angón;De 80 a 84 años;1 de enero de 2020;1
Total;19 Guadalajara;19031 Angón;De 85 a 89 años;1 de enero de 2020;0
Total;19 Guadalajara;19031 Angón;De 90 a 94 años;1 de enero de 2020;0
Total;19 Guadalajara;19031 Angón;De 95 a 99 años;1 de enero de 2020;0
Total;19 Guadalajara;19031 Angón;100 y más años;1 de enero de 2020;0
Total;19 Guadalajara;19032 Anguita;Todas las edades;1 de enero de 2020;155
Total;19 Guadalajara;19032 Anguita;De 0 a 4 años;1 de enero de 2020;2
Total;19 Guadalajara;19032 Anguita;De 5 a 9 años;1 de enero de 2020;1
Total;19 Guadalajara;19032 Anguita;De 10 a 14 años;1 de enero de 2020;3
Total;19 Guadalajara;19032 Anguita;De 65 a 69 años;1 de enero de 2020;13
Total;19 Guadalajara;19032 Anguita;De 70 a 74 años;1 de enero de 2020;11
Total;19 Guadalajara;19032 Anguita;De 75 a 79 años;1 de enero de 2020;13
Total;19 Guadalajara;19032 Anguita;De 80 a 84 años;1 de enero de 2020;12
Total;19 Guadalajara;19032 Anguita;De 85 a 89 años;1 de enero de 2020;15
Total;19 Guadalajara;19032 Anguita;De 90 a 94 años;1 de enero de 2020;8
Total;19 Guadalajara;19032 Anguita;De 95 a 99 años;1 de enero de 2020;5
Total;19 Guadalajara;19032 Anguita;100 y más años;1 de enero de 2020;0
Total;19 Guadalajara;19033 Anquela del Ducado;Todas las edades;1 de enero de 2020;46
Total;19 Guadalajara;19033 Anquela del Ducado;De 0 a 4 años;1 de enero de 2020;0
Total;19 Guadalajara;19033 Anquela del Ducado;De 5 a 9 años;1 de enero de 2020;0
Total;19 Guadalajara;19033 Anquela del Ducado;De 10 a 14 años;1 de enero de 2020;0
Total;19 Guadalajara;19033 Anquela del Ducado;De 65 a 69 años;1 de enero de 2020;2
Total;19 Guadalajara;19033 Anquela del Ducado;De 70 a 74 años;1 de enero de 2020;2
Total;19 Guadalajara;19033 Anquela del Ducado;De 75 a 79 años;1 de enero de 2020;4
Total;19 Guadalajara;19033 Anquela del Ducado;De 80 a 84 años;1 de enero de 2020;4
Total;19 Guadalajara;19033 Anquela del Ducado;De 85 a 89 años;1 de enero de 2020;2
Total;19 Guadalajara;19033 Anquela del Ducado;De 90 a 94 años;1 de enero de 2020;4
Total;19 Guadalajara;19033 Anquela del Ducado;De 95 a 99 años;1 de enero de 2020;0
Total;19 Guadalajara;19033 Anquela del Ducado;100 y más años;1 de enero de 2020;0
Total;19 Guadalajara;19034 Anquela del Pedregal;Todas las edades;1 de enero de 2020;29
Total;19 Guadalajara;19034 Anquela del Pedregal;De 0 a 4 años;1 de enero de 2020;0
Total;19 Guadalajara;19034 Anquela del Pedregal;De 5 a 9 años;1 de enero de 2020;0
Total;19 Guadalajara;19034 Anquela del Pedregal;De 10 a 14 años;1 de enero de 2020;0
Total;19 Guadalajara;19034 Anquela del Pedregal;De 65 a 69 años;1 de enero de 2020;1
